algorithm,input_size_bytes,trial_number,encryption_time_seconds,decryption_time_seconds,ciphertext_size_bytes,input_size_MB,encryption_throughput_MBps,decryption_throughput_MBps,encryption_time_per_byte,decryption_time_per_byte,encryption_ns_per_byte,decryption_ns_per_byte,ciphertext_expansion_ratio
AES,1024,1,0.0127360829792451,0.0230083109927363,1040,0.0009765625,0.07667683239748202,0.042443902132073046,1.2437581034419042e-05,2.2469053703844043e-05,12437.581034419041,22469.05370384404,1.015625
AES,1024,2,0.0127833209990058,0.0231682189914863,1040,0.0009765625,0.07639348961634855,0.04215095257684074,1.2483711913091602e-05,2.262521385887334e-05,12483.711913091602,22625.21385887334,1.015625
AES,1024,3,0.0130256730190012,0.023838509019697,1040,0.0009765625,0.07497213376809317,0.040965754158244445,1.2720383807618359e-05,2.327979396454785e-05,12720.383807618358,23279.79396454785,1.015625
AES,1024,4,0.0130493270116858,0.0233528740063775,1040,0.0009765625,0.07483623478248945,0.04181765806355603,1.2743483409849413e-05,2.2805541021853026e-05,12743.483409849414,22805.541021853027,1.015625
AES,1024,5,0.012231883010827,0.0222398879996035,1040,0.0009765625,0.07983746240342553,0.043910405484839245,1.1945198252760742e-05,2.1718640624612793e-05,11945.198252760742,21718.64062461279,1.015625
AES,1024,6,0.012310558988247,0.0225490440207067,1040,0.0009765625,0.07932722640233744,0.04330837702490741,1.2022030261959962e-05,2.2020550801471388e-05,12022.030261959962,22020.55080147139,1.015625
AES,1024,7,0.0124275179987307,0.0225002730148844,1040,0.0009765625,0.07858065464879974,0.043402251135085494,1.2136248045635449e-05,2.1972922866098047e-05,12136.24804563545,21972.922866098048,1.015625
AES,1024,8,0.0124301020114216,0.0225372419808991,1040,0.0009765625,0.07856431902993795,0.043331056250257335,1.2138771495528906e-05,2.200902537197178e-05,12138.771495528907,22009.025371971777,1.015625
AES,1024,9,0.0124657089763786,0.0229052290087565,1040,0.0009765625,0.07833990845209833,0.042634915356081673,1.2173543922244727e-05,2.236838770386377e-05,12173.543922244728,22368.387703863773,1.015625
AES,1024,10,0.0124652780068572,0.0226850580074824,1040,0.0009765625,0.07834261694466733,0.04304871072747058,1.2173123053571485e-05,2.2153376960432032e-05,12173.123053571484,22153.376960432033,1.015625
DES,1024,1,0.0141310250037349,0.0140984540048521,1032,0.0009765625,0.06910769032974534,0.06926734659444986,1.3799829105209863e-05,1.3768021489113378e-05,13799.829105209863,13768.021489113378,1.0078125
DES,1024,2,0.0140468570170924,0.0140839359955862,1032,0.0009765625,0.06952177976978807,0.06933874879196038,1.3717633805754297e-05,1.375384374568965e-05,13717.633805754296,13753.84374568965,1.0078125
DES,1024,3,0.0139677600236609,0.0139707259950228,1032,0.0009765625,0.06991546950590052,0.06990062652061957,1.3640390648106348e-05,1.3643287104514453e-05,13640.390648106348,13643.287104514453,1.0078125
DES,1024,4,0.0140737080073449,0.0139593940111808,1032,0.0009765625,0.06938914033816417,0.06995737058627478,1.3743855475922754e-05,1.363222071404375e-05,13743.855475922754,13632.22071404375,1.0078125
