algorithm,input_size_bytes,trial_number,encryption_time_seconds,decryption_time_seconds,ciphertext_size_bytes
AES,1024,1,0.012736082979245111,0.02300831099273637,1040
AES,1024,2,0.01278332099900581,0.023168218991486356,1040
AES,1024,3,0.01302567301900126,0.023838509019697085,1040
AES,1024,4,0.013049327011685818,0.023352874006377533,1040
AES,1024,5,0.012231883010827005,0.022239887999603525,1040
AES,1024,6,0.012310558988247067,0.022549044020706788,1040
AES,1024,7,0.012427517998730764,0.022500273014884442,1040
AES,1024,8,0.012430102011421695,0.022537241980899125,1040
AES,1024,9,0.012465708976378664,0.022905229008756578,1040
AES,1024,10,0.012465278006857261,0.02268505800748244,1040
DES,1024,1,0.014131025003734976,0.014098454004852101,1032
DES,1024,2,0.014046857017092407,0.014083935995586216,1032
DES,1024,3,0.013967760023660958,0.013970725995022804,1032
DES,1024,4,0.014073708007344976,0.013959394011180848,1032
DES,1024,5,0.014072725985897705,0.013930891000200063,1032
DES,1024,6,0.013831154996296391,0.013844621018506587,1032
DES,1024,7,0.013379012001678348,0.013387398008489981,1032
DES,1024,8,0.013485159986885265,0.013451647013425827,1032
DES,1024,9,0.013338616990949959,0.013405100995441899,1032
DES,1024,10,0.013493264996213838,0.013324921019375324,1032
3DES,1024,1,0.03959507599938661,0.03972143097780645,1032
3DES,1024,2,0.03987923599197529,0.03937672800384462,1032
3DES,1024,3,0.03968726799939759,0.0397827560082078,1032
3DES,1024,4,0.0398431190114934,0.03958111899555661,1032
3DES,1024,5,0.03988572797970846,0.040007844974752516,1032
3DES,1024,6,0.04004408302716911,0.03975113600608893,1032
3DES,1024,7,0.03997002501273528,0.03961291897576302,1032
3DES,1024,8,0.039709228003630415,0.039649486978305504,1032
3DES,1024,9,0.03973289200803265,0.03990447300020605,1032
3DES,1024,10,0.04001333599444479,0.03992656400077976,1032
AES,4096,1,0.0512795870017726,0.09315649900236167,4112
AES,4096,2,0.05122003599535674,0.09202211297815666,4112
AES,4096,3,0.0514097610139288,0.0926935049938038,4112
AES,4096,4,0.05105989699950442,0.09104491100879386,4112
AES,4096,5,0.05032164099975489,0.09156577198882587,4112
AES,4096,6,0.05006058400613256,0.0899547679873649,4112
AES,4096,7,0.04969294901820831,0.08998867098125629,4112
AES,4096,8,0.05005311997956596,0.09059729598811828,4112
AES,4096,9,0.04969313900801353,0.08975331200053915,4112
AES,4096,10,0.049689942999975756,0.08991085601155646,4112
DES,4096,1,0.05750442700809799,0.056861046992708,4104
DES,4096,2,0.05714725100551732,0.056876785994973034,4104
DES,4096,3,0.05543478700565174,0.055447930993977934,4104
DES,4096,4,0.05619675901834853,0.05632299397257157,4104
DES,4096,5,0.0594764249981381,0.055473429994890466,4104
DES,4096,6,0.05574938398785889,0.056207448011264205,4104
DES,4096,7,0.05495147602050565,0.05490241400548257,4104
DES,4096,8,0.055161266995128244,0.05486194900004193,4104
DES,4096,9,0.05471664801007137,0.05443130599451251,4104
DES,4096,10,0.05522410399862565,0.054951024998445064,4104
3DES,4096,1,0.16362505499273539,0.1628493279858958,4104
3DES,4096,2,0.16679521699552424,0.1630525270011276,4104
3DES,4096,3,0.16330951699637808,0.16295885300496593,4104
3DES,4096,4,0.16315931599820033,0.16312377000576816,4104
3DES,4096,5,0.1635731679853052,0.16309472598368302,4104
3DES,4096,6,0.16028196999104694,0.1575097200111486,4104
3DES,4096,7,0.16093779299990274,0.16137031998368911,4104
3DES,4096,8,0.1601015839842148,0.16099077198305167,4104
3DES,4096,9,0.16250910400412977,0.16050803201505914,4104
3DES,4096,10,0.16451490498729981,0.16283762699458748,4104
AES,16384,1,0.2039252360118553,0.371581421000883,16400
AES,16384,2,0.2059120429912582,0.37333620301797055,16400
AES,16384,3,0.20296233100816607,0.35483794400352053,16400
AES,16384,4,0.1939783759880811,0.34713725198525935,16400
AES,16384,5,0.19237911299569532,0.34912035102024674,16400
AES,16384,6,0.1931440299958922,0.3531256119895261,16400
AES,16384,7,0.19512938300613314,0.34306931600440294,16400
AES,16384,8,0.19099153598654084,0.34706138097681105,16400
AES,16384,9,0.1926383270183578,0.347797364986036,16400
AES,16384,10,0.19547682200209238,0.35077815401018597,16400
DES,16384,1,0.22538724599871784,0.22316323799896054,16392
DES,16384,2,0.22657247699680738,0.22671453101793304,16392
DES,16384,3,0.2246102269855328,0.22309618297731504,16392
DES,16384,4,0.22198122402187437,0.22279226599493995,16392
DES,16384,5,0.22622254400630482,0.22415395599091426,16392
DES,16384,6,0.22418970300350338,0.22488855599658564,16392
DES,16384,7,0.22574317100225016,0.2252941339975223,16392
DES,16384,8,0.22698235098505393,0.22688757500145584,16392
DES,16384,9,0.22462784001254477,0.21857226701104082,16392
DES,16384,10,0.21811074600555003,0.21588724898174405,16392
3DES,16384,1,0.650725382991368,0.6459683610009961,16392
3DES,16384,2,0.6489899259759113,0.6493147230066825,16392
3DES,16384,3,0.6480259700038005,0.6457628599891905,16392
3DES,16384,4,0.6440740109828766,0.6535917120054364,16392
3DES,16384,5,0.6496780439920258,0.6537387370190118,16392
3DES,16384,6,0.6553330419992562,0.6535945310024545,16392
3DES,16384,7,0.6575168870040216,0.6583462839771528,16392
3DES,16384,8,0.6609413750120439,0.659766212978866,16392
3DES,16384,9,0.6702156329993159,0.6486427589843515,16392
3DES,16384,10,0.6512911390163936,0.6517700129770674,16392
AES,65536,1,0.8374186799919698,1.4797835749923252,65552
AES,65536,2,0.7470827309880406,1.3807379429927096,65552
AES,65536,3,0.7798645730072167,1.3808925760095008,65552
AES,65536,4,0.7923671139869839,1.3943740040122066,65552
AES,65536,5,0.7696773479983676,1.4271466420032084,65552
AES,65536,6,0.7923272040206939,1.3866527019999921,65552
AES,65536,7,0.7752687619940843,1.3985404779959936,65552
AES,65536,8,0.7962146399950143,1.436783368990291,65552
AES,65536,9,0.7813608989818022,1.4121867190115154,65552
AES,65536,10,0.7885337299958337,1.4294296629959717,65552
DES,65536,1,0.8985678860044573,0.867290813010186,65544
DES,65536,2,0.8773810729908291,0.8722068940114696,65544
DES,65536,3,0.8795429379970301,0.8738578050106298,65544
DES,65536,4,0.890627663990017,0.8939598599972669,65544
DES,65536,5,0.8924168540106621,0.8727907190041151,65544
DES,65536,6,0.889829669991741,0.876704461988993,65544
